id,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),iris_type
127,5.5,3.5,1.3,0.2,0
128,6.3,2.5,5.0,1.9,2
129,5.2,3.4,1.4,0.2,0
130,5.0,3.5,1.3,0.3,0
131,4.4,3.2,1.3,0.2,0
132,5.5,4.2,1.4,0.2,0
133,6.0,2.7,5.1,1.6,1
134,5.6,2.5,3.9,1.1,1
135,4.7,3.2,1.3,0.2,0
136,5.2,4.1,1.5,0.1,0
137,6.0,2.2,4.0,1.0,1
138,5.4,3.9,1.3,0.4,0
139,5.0,3.0,1.6,0.2,0
140,5.0,2.0,3.5,1.0,1
141,4.9,3.0,1.4,0.2,0
142,5.0,3.6,1.4,0.2,0
143,6.7,3.0,5.0,1.7,1
144,5.6,2.7,4.2,1.3,1
145,4.9,3.1,1.5,0.2,0
146,6.5,3.0,5.5,1.8,2
147,6.2,2.8,4.8,1.8,2
148,5.1,3.8,1.5,0.3,0
149,7.2,3.6,6.1,2.5,2
